item_name,ing_id,ing_name,ing_weight,ing_price,recep_quantity,order_quantity,unit_cost,ordered_weight,ingredient_cost
"Vanilla Ice Cream",ING027,Milk,0.1000,11.25,15,387,112.500000,0.58050000,65.30625000000000
"Coca Cola 33cl",ING039,"Coca Cola Regular",10.0000,3.60,10,385,0.360000,38.50000000,13.86000000000000
"Sparkling Water 33cl",ING038,Perrier,7.5000,2.87,6,545,0.382667,24.52500000,9.38490000000000
"Sparkling Water 33cl",ING037,"San Pelegrino",7.5000,2.35,6,545,0.313333,24.52500000,7.68450000000000
"Pizza Margherita Regular",ING004,Oregano,0.5000,5.99,2,377,11.980000,0.37700000,4.51646000000000
"Pizza Margherita Regular",ING003,Mozzarella,2.5000,14.45,10,377,5.780000,9.42500000,54.47650000000000
"Pizza Margherita Regular",ING002,"Tomato Sauce",4.5000,3.89,10,377,0.864444,16.96500000,14.66530000000000
"Pizza Margherita Regular",ING001,"Pizza Base",2.0000,4.22,50,377,2.110000,37.70000000,79.54700000000000
Breadsticks,ING020,Bread,3.0000,69.83,30,361,23.276667,32.49000000,756.25890000000000
"Caesar Salad",ING026,"Caesar Dressing",7.5000,12.99,5,415,1.732000,15.56250000,26.95425000000000
"Caesar Salad",ING025,Lettuce,5.0000,5.50,5,415,1.100000,10.37500000,11.41250000000000
"Caesar Salad",ING024,Croutons,1.2500,17.98,5,415,14.384000,2.59375000,37.30850000000000
"Caesar Salad",ING023,Chicken,7.5000,13.72,20,415,1.829333,62.25000000,113.87600000000000
"Chocolate Brownie",ING029,Chocolate,4.0000,25.99,10,409,6.497500,16.36000000,106.29910000000000
"Chocolate Brownie",ING020,Bread,3.0000,69.83,45,409,23.276667,55.21500000,1285.22115000000000
"Pizza Pepperoni Large",ING013,Pepperoni,2.5000,24.18,25,283,9.672000,17.68750000,171.07350000000000
"Pizza Pepperoni Large",ING003,Mozzarella,2.5000,14.45,8,283,5.780000,5.66000000,32.71480000000000
"Pizza Pepperoni Large",ING001,"Pizza Base",2.0000,4.22,60,283,2.110000,33.96000000,71.65560000000000
"Pistachio Ice Crearn",ING031,Pistachio,4.0000,30.50,5,461,7.625000,9.22000000,70.30250000000000
"Pistachio Ice Crearn",ING027,Milk,0.1000,11.25,15,461,112.500000,0.69150000,77.79375000000000
"Chocolate Ice Cream",ING029,Chocolate,4.0000,25.99,5,414,6.497500,8.28000000,53.79930000000000
"Chocolate Ice Cream",ING027,Milk,0.1000,11.25,15,414,112.500000,0.62100000,69.86250000000000
"Pizza Seafood Regular",ING016,Calamari,2.5000,28.77,10,421,11.508000,10.52500000,121.12170000000000
"Pizza Seafood Regular",ING015,Tuna,2.0000,7.66,10,421,3.830000,8.42000000,32.24860000000000
"Pizza Seafood Regular",ING014,Shrimps,1.0000,8.98,10,421,8.980000,4.21000000,37.80580000000000
"Pizza Seafood Regular",ING003,Mozzarella,2.5000,14.45,8,421,5.780000,8.42000000,48.66760000000000
"Pizza Seafood Regular",ING001,"Pizza Base",2.0000,4.22,50,421,2.110000,42.10000000,88.83100000000000
"Pizza Quattro Formaggi Regular",ING008,"Parmesan Cheese",2.5000,18.75,15,479,7.500000,17.96250000,134.71875000000000
"Pizza Quattro Formaggi Regular",ING010,Ricotta,1.5000,3.99,15,479,2.660000,10.77750000,28.66815000000000
"Pizza Quattro Formaggi Regular",ING009,Gorgonzola,3.5000,27.64,15,479,7.897143,25.14750000,198.59340000000000
"Pizza Quattro Formaggi Regular",ING003,Mozzarella,2.5000,14.45,6,479,5.780000,7.18500000,41.52930000000000
"Pizza Quattro Formaggi Regular",ING001,"Pizza Base",2.0000,4.22,50,479,2.110000,47.90000000,101.06900000000000
"7 Up 33cl",ING041,"7 Up Regular",7.5000,3.55,10,316,0.473333,23.70000000,11.21800000000000
"Pizza Hawaiian Large",ING018,Pineapple,3.0000,6.23,10,434,2.076667,13.02000000,27.03820000000000
"Pizza Hawaiian Large",ING017,Ham,5.0000,32.45,15,434,6.490000,32.55000000,211.24950000000000
"Pizza Hawaiian Large",ING003,Mozzarella,2.5000,14.45,9,434,5.780000,9.76500000,56.44170000000000
"Pizza Hawaiian Large",ING001,"Pizza Base",2.0000,4.22,60,434,2.110000,52.08000000,109.88880000000000
"Chicken Wings",ING023,Chicken,7.5000,13.72,40,320,1.829333,96.00000000,175.61600000000000
"Pizza Parmigiana Regular",ING008,"Parmesan Cheese",2.5000,18.75,15,424,7.500000,15.90000000,119.25000000000000
"Pizza Parmigiana Regular",ING007,Eggplants,1.0000,1.90,10,424,1.900000,4.24000000,8.05600000000000
"Pizza Parmigiana Regular",ING003,Mozzarella,2.5000,14.45,5,424,5.780000,5.30000000,30.63400000000000
"Pizza Parmigiana Regular",ING001,"Pizza Base",2.0000,4.22,50,424,2.110000,42.40000000,89.46400000000000
"Pizza Diavola Regular",ING006,"Chilli Pepper",1.0000,6.49,10,511,6.490000,5.11000000,33.16390000000000
"Pizza Diavola Regular",ING005,"Spicy Salami",3.5000,37.64,5,511,10.754286,8.94250000,96.17020000000000
"Pizza Diavola Regular",ING003,Mozzarella,2.5000,14.45,6,511,5.780000,7.66500000,44.30370000000000
"Pizza Diavola Regular",ING001,"Pizza Base",2.0000,4.22,50,511,2.110000,51.10000000,107.82100000000000
"Pizza Seafood Large",ING016,Calamari,2.5000,28.77,15,370,11.508000,13.87500000,159.67350000000000
"Pizza Seafood Large",ING015,Tuna,2.0000,7.66,15,370,3.830000,11.10000000,42.51300000000000
"Pizza Seafood Large",ING014,Shrimps,1.0000,8.98,15,370,8.980000,5.55000000,49.83900000000000
"Pizza Seafood Large",ING003,Mozzarella,2.5000,14.45,9,370,5.780000,8.32500000,48.11850000000000
"Pizza Seafood Large",ING001,"Pizza Base",2.0000,4.22,60,370,2.110000,44.40000000,93.68400000000000
"Banoffee Pie",ING035,"Biscuit Base",5.0000,6.60,25,425,1.320000,53.12500000,70.12500000000000
"Banoffee Pie",ING034,"Caramel Sauce",2.0000,4.75,5,425,2.375000,4.25000000,10.09375000000000
"Banoffee Pie",ING033,Cream,3.5000,3.45,20,425,0.985714,29.75000000,29.32500000000000
"Banoffee Pie",ING032,Bananas,5.0000,9.75,10,425,1.950000,21.25000000,41.43750000000000
"Pizza Pepperoni Regular",ING013,Pepperoni,2.5000,24.18,20,347,9.672000,17.35000000,167.80920000000000
"Pizza Pepperoni Regular",ING003,Mozzarella,2.5000,14.45,5,347,5.780000,4.33750000,25.07075000000000
"Pizza Pepperoni Regular",ING001,"Pizza Base",2.0000,4.22,50,347,2.110000,34.70000000,73.21700000000000
"Fanta 1.5l",ING042,"Fanta Regular",7.5000,3.55,50,471,0.473333,176.62500000,83.60250000000000
"Pizza Quattro Formaggi Large",ING008,"Parmesan Cheese",2.5000,18.75,20,352,7.500000,17.60000000,132.00000000000000
"Pizza Quattro Formaggi Large",ING010,Ricotta,1.5000,3.99,20,352,2.660000,10.56000000,28.08960000000000
"Pizza Quattro Formaggi Large",ING009,Gorgonzola,3.5000,27.64,20,352,7.897143,24.64000000,194.58560000000000
"Pizza Quattro Formaggi Large",ING003,Mozzarella,2.5000,14.45,8,352,5.780000,7.04000000,40.69120000000000
"Pizza Quattro Formaggi Large",ING001,"Pizza Base",2.0000,4.22,60,352,2.110000,42.24000000,89.12640000000000
"Fruit salad",ING018,Pineapple,3.0000,6.23,10,463,2.076667,13.89000000,28.84490000000000
"Fruit salad",ING011,Anchovies,1.0000,10.99,10,463,10.990000,4.63000000,50.88370000000000
"Fruit salad",ING036,Papaya,5.0000,6.77,15,463,1.354000,34.72500000,47.01765000000000
"Pizza Hawaiian Regular",ING018,Pineapple,3.0000,6.23,5,356,2.076667,5.34000000,11.08940000000000
"Pizza Hawaiian Regular",ING017,Ham,5.0000,32.45,10,356,6.490000,17.80000000,115.52200000000000
"Pizza Hawaiian Regular",ING003,Mozzarella,2.5000,14.45,8,356,5.780000,7.12000000,41.15360000000000
"Pizza Hawaiian Regular",ING001,"Pizza Base",2.0000,4.22,50,356,2.110000,35.60000000,75.11600000000000
"Diet Coke 1.5l",ING040,"Coca Cola Diet",10.0000,3.80,50,364,0.380000,182.00000000,69.16000000000000
"Fanta 33cl",ING042,"Fanta Regular",7.5000,3.55,10,352,0.473333,26.40000000,12.49600000000000
